# SIGMA_QGP=1, SIGMA_HAD=0.4
# NSAMPLE=100000000, Tblast=102, UPERPblast(x,y)=(0.732,0.732)
# SOVERUD=1.4, QUARK_ENTROPY_RATIO=0.18, BARYON_FUDGE=0.666667
# ------- normalization=0.236809 -----------------
#dely    BF  sigmaB  QGP    LOCAL  RES_DECAYS
0.050  0.3323  0.0001  0.0546  0.1053  0.1724
0.150  0.3091  0.0001  0.0510  0.0978  0.1604
0.250  0.2828  0.0001  0.0473  0.0891  0.1465
0.350  0.2558  0.0001  0.0434  0.0795  0.1329
0.450  0.2282  0.0001  0.0395  0.0698  0.1188
0.550  0.1989  0.0001  0.0353  0.0598  0.1039
0.650  0.1707  0.0001  0.0317  0.0501  0.0890
0.750  0.1436  0.0001  0.0277  0.0410  0.0749
0.850  0.1181  0.0000  0.0237  0.0331  0.0614
0.950  0.0948  0.0000  0.0200  0.0260  0.0488
1.050  0.0738  0.0000  0.0169  0.0197  0.0372
1.150  0.0555  0.0000  0.0138  0.0146  0.0271
1.250  0.0402  0.0000  0.0107  0.0105  0.0191
1.350  0.0278  0.0000  0.0081  0.0072  0.0126
1.450  0.0184  0.0000  0.0059  0.0046  0.0079
1.550  0.0109  0.0000  0.0038  0.0026  0.0045
1.650  0.0055  0.0000  0.0022  0.0013  0.0021
1.750  0.0015  0.0000  0.0007  0.0004  0.0005
