# SIGMA_QGP=1, SIGMA_HAD=0.1
# NSAMPLE=100000000, Tblast=102, UPERPblast(x,y)=(0.732,0.732)
# SOVERUD=0.93, QUARK_ENTROPY_RATIO=0.18, BARYON_FUDGE=0.666667
# ------- normalization=0.239531 -----------------
#dely    BF  sigmaB  QGP    LOCAL  RES_DECAYS
0.050  0.3446  0.0001  0.0618  0.1102  0.1726
0.150  0.3194  0.0001  0.0575  0.1019  0.1600
0.250  0.2913  0.0001  0.0535  0.0912  0.1466
0.350  0.2624  0.0001  0.0495  0.0797  0.1332
0.450  0.2323  0.0001  0.0450  0.0680  0.1193
0.550  0.2008  0.0001  0.0401  0.0565  0.1042
0.650  0.1707  0.0001  0.0358  0.0457  0.0892
0.750  0.1418  0.0001  0.0311  0.0358  0.0749
0.850  0.1159  0.0000  0.0270  0.0276  0.0613
0.950  0.0923  0.0000  0.0230  0.0206  0.0487
1.050  0.0712  0.0000  0.0190  0.0150  0.0372
1.150  0.0533  0.0000  0.0156  0.0105  0.0272
1.250  0.0383  0.0000  0.0122  0.0072  0.0190
1.350  0.0264  0.0000  0.0093  0.0046  0.0126
1.450  0.0175  0.0000  0.0067  0.0028  0.0079
1.550  0.0104  0.0000  0.0044  0.0015  0.0044
1.650  0.0052  0.0000  0.0024  0.0007  0.0021
1.750  0.0015  0.0000  0.0008  0.0002  0.0005
