# SIGMA_QGP=1, SIGMA_HAD=0.2
# NSAMPLE=100000000, Tblast=102, UPERPblast(x,y)=(0.732,0.732)
# SOVERUD=0.6, QUARK_ENTROPY_RATIO=0.175, BARYON_FUDGE=0.65
# ------- normalization=0.239405 -----------------
#dely    BF  sigmaB  QGP    LOCAL  RES_DECAYS
0.050  0.3482  0.0001  0.0696  0.0997  0.1789
0.150  0.3235  0.0001  0.0655  0.0924  0.1656
0.250  0.2944  0.0001  0.0607  0.0835  0.1502
0.350  0.2630  0.0001  0.0558  0.0736  0.1337
0.450  0.2309  0.0001  0.0507  0.0632  0.1169
0.550  0.1990  0.0001  0.0459  0.0530  0.1001
0.650  0.1677  0.0001  0.0406  0.0435  0.0836
0.750  0.1398  0.0000  0.0355  0.0348  0.0695
0.850  0.1138  0.0000  0.0305  0.0271  0.0562
0.950  0.0905  0.0000  0.0259  0.0206  0.0440
1.050  0.0701  0.0000  0.0217  0.0152  0.0333
1.150  0.0529  0.0000  0.0176  0.0109  0.0244
1.250  0.0383  0.0000  0.0138  0.0075  0.0170
1.350  0.0268  0.0000  0.0105  0.0050  0.0113
1.450  0.0177  0.0000  0.0076  0.0031  0.0070
1.550  0.0106  0.0000  0.0049  0.0017  0.0040
1.650  0.0053  0.0000  0.0027  0.0008  0.0018
1.750  0.0015  0.0000  0.0008  0.0002  0.0005
